house_index,bedrooms,bathrooms,toilets,property_type,property_subtype,locality,postal_code,street,number,box,apptFloor,totalfloorCount,latitude,longitude,kitchen,facades,furnished,terrace,terraceSurface,fireplace,fireplaceCount,garden,gardenSurface,pool,landSurface,livingArea,buildingState,constructionYear,cadastralIncome,price,nearest_transport,nearest_school,nearest_supermarket,mobib_score
11383,5.0,1.0,2.0,HOUSE,HOUSE,Oupeye,4680,Rue Joseph Wauters,73,,,3.0,50.697163,5.6516035,1.0,4.0,0.0,1.0,18.0,1.0,1.0,1.0,735.0,0.0,1102.0,260.0,TO_RENOVATE,1992.0,1669.0,319000.0,1481.5091892399535,2629.282388100474,1253.0981622175207,5.436400714134732
11384,3.0,2.0,2.0,HOUSE,HOUSE,Blégny,4672,Rue Fossé Piron,8,,,2.0,50.6947524,5.708747900000001,1.0,4.0,0.0,1.0,28.0,1.0,1.0,1.0,700.0,1.0,1230.0,164.0,TO_BE_DONE_UP,1988.0,1130.0,329000.0,556.2886345791389,2303.156292394827,1952.2752981993506,6.421327426831696
11385,4.0,1.0,2.0,HOUSE,HOUSE,Villers-le-bouillet,4530,Rue Haut Pierremont,7D,,,2.0,50.58505359999999,5.2848099,1.0,4.0,0.0,1.0,12.0,0.0,0.0,1.0,951.0,0.0,974.0,140.0,GOOD,2000.0,681.0,345000.0,215.08126521637993,7764.5630110181155,4889.710537350409,3.713224979711493
11386,4.0,1.0,4.0,HOUSE,HOUSE,Durbuy,6940,Rue du Calvaire,49,,,2.0,50.3350543,5.4345624,1.0,4.0,0.0,1.0,58.0,0.0,0.0,1.0,855.0,0.0,855.0,231.0,GOOD,2011.0,953.0,369000.0,361.1682000917549,4933.951690745343,3996.0560606724066,3.8544050260960554
11388,3.0,1.0,2.0,HOUSE,HOUSE,Oudenaarde,9700,Nederenamestraat,195,,,4.0,50.8656461,3.645737899999999,0.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,645.0,165.0,GOOD,1978.0,0.0,398000.0,745.0265969624999,4951.4315622233835,397.64923139868966,5.741531716450873
11389,4.0,2.0,2.0,HOUSE,HOUSE,Oupeye,4680,Rue d'Heure-le-Romain,97,,,1.0,50.71357260000001,5.640625099999999,1.0,4.0,0.0,1.0,60.0,1.0,1.0,1.0,540.0,0.0,880.0,172.0,GOOD,1977.0,1603.0,399000.0,538.935039048116,4449.37750012868,811.6988900952392,5.774035687786565
11390,4.0,1.0,2.0,HOUSE,HOUSE,SAINT-NICOLAS,4420,Rue Laurent Pâques,34,,,,50.6391702,5.5288555,1.0,4.0,0.0,1.0,40.0,0.0,0.0,1.0,300.0,0.0,640.0,211.0,GOOD,1998.0,1698.0,419000.0,212.54084085140286,734.327520159842,1743.320477910848,8.064846880151004
11391,3.0,1.0,2.0,HOUSE,HOUSE,Herzele,9550,Doornstraat,1,,,2.0,50.8573484,3.8957521,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,85.0,130.0,AS_NEW,2024.0,0.0,439300.0,745.8440482709727,6024.79325454481,2932.284376139285,4.050685018212513
11392,3.0,2.0,3.0,HOUSE,TOWN_HOUSE,LIER,2500,Frankenweg,35,,,,51.148594,4.5733124,1.0,2.0,0.0,1.0,15.0,1.0,1.0,1.0,86.0,0.0,210.0,223.0,AS_NEW,1979.0,1284.0,449000.0,999.5222721110059,149.47252059160914,2588.8763459819634,6.841737726136277
11393,3.0,1.0,2.0,HOUSE,VILLA,ROCOURT,4000,Clos du Vélodrome,8,,,2.0,50.6699655,5.5582407,1.0,4.0,0.0,1.0,36.0,0.0,0.0,1.0,600.0,0.0,773.0,200.0,GOOD,2003.0,1645.0,460000.0,837.0195704370353,2816.9307783150534,464.7306291549798,6.696199634437264
11394,3.0,1.0,2.0,HOUSE,HOUSE,PUURS-SINT-AMANDS,2870,Donkstraat,46,,,,51.0884917,4.326104300000001,1.0,3.0,0.0,1.0,30.0,0.0,0.0,1.0,350.0,0.0,434.0,200.0,JUST_RENOVATED,2006.0,0.0,475000.0,623.9703334450577,2691.7963159789683,1569.2307910796776,6.3273548173674925
11395,3.0,1.0,2.0,HOUSE,HOUSE,Gent,9050,Floristenstraat,1,,,3.0,51.0318665,3.7471151,0.0,3.0,0.0,1.0,49.0,0.0,0.0,1.0,15.0,0.0,102.0,158.0,AS_NEW,2013.0,925.0,493000.0,123.35219414583864,1048.5831035228668,325.90062623604695,8.919207921299606
